date,open,high,low,close,volume
20220111,0,0,0,0,0
20220112,1,1,1,1,0
20220113,0,0,0,0,0
20220114,1,1,1,1,0
20220116,0,0,0,0,0
20220117,0,0,0,0,0
20220118,0,0,0,0,0
20220119,1,1,1,1,0
20220120,0,0,0,0,0
20220121,1,1,1,1,0
20220123,0,0,0,0,0
20220124,1,1,1,1,0
20220125,1,1,1,1,0
20220126,0,0,0,0,0
20220127,0,0,0,0,0
20220128,0,0,0,0,0
20220130,1,1,1,1,0
20220131,0,0,0,0,0
20220201,0,0,0,0,0
20220202,1,1,1,1,0
20220203,1,1,1,1,0
20220204,1,1,1,1,0
20220206,0,0,0,0,0
20220207,1,1,1,1,0
20220208,0,0,0,0,0
20220209,1,1,1,1,0
20220210,0,0,0,0,0
20220211,0,0,0,0,0
20220213,0,0,0,0,0
20220214,0,0,0,0,0
20220215,1,1,1,1,0
20220216,1,1,1,1,0
20220217,0,0,0,0,0
20220218,0,0,0,0,0
20220220,0,0,0,0,0
20220221,1,1,1,1,0
20220222,1,1,1,1,0
20220223,0,0,0,0,0
20220224,0,0,0,0,0
20220225,0,0,0,0,0
20220227,1,1,1,1,0
20220228,0,0,0,0,0
20220301,1,1,1,1,0
20220302,1,1,1,1,0
20220303,1,1,1,1,0
20220304,0,0,0,0,0
20220306,0,0,0,0,0
20220307,1,1,1,1,0
20220308,0,0,0,0,0
20220309,1,1,1,1,0
20220310,1,1,1,1,0
20220311,0,0,0,0,0
20220313,0,0,0,0,0
20220314,1,1,1,1,0
20220315,1,1,1,1,0
20220316,0,0,0,0,0
20220317,0,0,0,0,0
20220318,0,0,0,0,0
20220320,0,0,0,0,0
20220321,1,1,1,1,0
20220322,1,1,1,1,0
20220323,1,1,1,1,0
20220324,1,1,1,1,0
20220325,0,0,0,0,0
20220327,0,0,0,0,0
20220328,0,0,0,0,0
20220329,1,1,1,1,0
20220330,1,1,1,1,0
20220331,0,0,0,0,0
20220401,0,0,0,0,0
20220403,0,0,0,0,0
20220404,1,1,1,1,0
20220405,1,1,1,1,0
20220406,1,1,1,1,0
20220407,0,0,0,0,0
20220408,0,0,0,0,0
20220410,0,0,0,0,0
20220411,1,1,1,1,0
20220412,0,0,0,0,0
20220413,1,1,1,1,0
20220414,1,1,1,1,0
20220415,0,0,0,0,0
20220417,0,0,0,0,0
20220418,0,0,0,0,0
20220419,1,1,1,1,0
20220420,0,0,0,0,0
20220421,1,1,1,1,0
20220422,0,0,0,0,0
20220424,0,0,0,0,0
20220425,1,1,1,1,0
20220426,1,1,1,1,0
20220427,1,1,1,1,0
20220428,0,0,0,0,0
20220429,0,0,0,0,0
20220501,0,0,0,0,0
20220502,0,0,0,0,0
20220503,0,0,0,0,0
20220504,0,0,0,0,0
20220505,1,1,1,1,0
20220506,1,1,1,1,0
20220508,1,1,1,1,0
20220509,1,1,1,1,0
20220510,0,0,0,0,0
20220511,1,1,1,1,0
20220512,0,0,0,0,0
20220513,0,0,0,0,0
20220515,0,0,0,0,0
20220516,1,1,1,1,0
20220517,0,0,0,0,0
20220518,1,1,1,1,0
20220519,1,1,1,1,0
20220520,0,0,0,0,0
20220522,0,0,0,0,0
20220523,1,1,1,1,0
20220524,0,0,0,0,0
20220525,0,0,0,0,0
20220526,0,0,0,0,0
20220527,0,0,0,0,0
20220529,0,0,0,0,0
20220530,1,1,1,1,0
20220531,1,1,1,1,0
20220601,0,0,0,0,0
20220602,0,0,0,0,0
20220603,0,0,0,0,0
20220605,0,0,0,0,0
20220606,1,1,1,1,0
20220607,1,1,1,1,0
20220608,1,1,1,1,0
20220609,0,0,0,0,0
20220610,0,0,0,0,0
20220612,1,1,1,1,0
20220613,0,0,0,0,0
20220614,1,1,1,1,0
20220615,1,1,1,1,0
20220616,0,0,0,0,0
20220617,0,0,0,0,0
20220619,0,0,0,0,0
20220620,1,1,1,1,0
20220621,1,1,1,1,0
20220622,1,1,1,1,0
20220623,0,0,0,0,0
20220624,0,0,0,0,0
20220626,0,0,0,0,0
20220627,1,1,1,1,0
20220628,1,1,1,1,0
20220629,1,1,1,1,0
20220630,0,0,0,0,0
20220701,0,0,0,0,0
20220703,0,0,0,0,0
20220704,1,1,1,1,0
20220705,1,1,1,1,0
20220706,1,1,1,1,0
20220707,1,1,1,1,0
20220708,0,0,0,0,0
20220710,0,0,0,0,0
20220711,1,1,1,1,0
20220712,0,0,0,0,0
20220713,1,1,1,1,0
20220714,0,0,0,0,0
20220715,0,0,0,0,0
20220717,0,0,0,0,0
20220718,0,0,0,0,0
20220719,0,0,0,0,0
20220720,1,1,1,1,0
20220721,0,0,0,0,0
20220722,0,0,0,0,0
20220724,0,0,0,0,0
20220725,1,1,1,1,0
20220726,0,0,0,0,0
20220727,0,0,0,0,0
20220728,1,1,1,1,0
20220729,0,0,0,0,0
20220731,0,0,0,0,0
20220801,0,0,0,0,0
20220802,0,0,0,0,0
20220803,1,1,1,1,0
20220804,1,1,1,1,0
20220805,0,0,0,0,0
20220807,0,0,0,0,0
20220808,1,1,1,1,0
20220809,0,0,0,0,0
20220810,1,1,1,1,0
20220811,0,0,0,0,0
20220812,0,0,0,0,0
20220814,0,0,0,0,0
20220815,1,1,1,1,0
20220816,1,1,1,1,0
20220817,1,1,1,1,0
20220818,0,0,0,0,0
20220819,1,1,1,1,0
20220821,0,0,0,0,0
20220822,1,1,1,1,0
20220823,1,1,1,1,0
20220824,0,0,0,0,0
20220825,0,0,0,0,0
20220826,0,0,0,0,0
20220828,0,0,0,0,0
20220829,0,0,0,0,0
20220830,1,1,1,1,0
20220831,0,0,0,0,0
20220901,0,0,0,0,0
20220902,0,0,0,0,0
20220904,0,0,0,0,0
20220905,1,1,1,1,0
20220906,0,0,0,0,0
20220907,1,1,1,1,0
20220908,0,0,0,0,0
20220909,0,0,0,0,0
20220911,0,0,0,0,0
20220912,1,1,1,1,0
20220913,0,0,0,0,0
20220914,1,1,1,1,0
20220915,0,0,0,0,0
20220916,0,0,0,0,0
20220918,0,0,0,0,0
20220919,0,0,0,0,0
20220920,1,1,1,1,0
20220921,1,1,1,1,0
