Currency,Event
AUD,BOC Gov Macklem Speaks
AUD,Core Retail Sales m/m
AUD,Ivey PMI
AUD,Retail Sales m/m
AUD,CPI y/y
AUD,Employment Change
AUD,GDP q/q
AUD,RBA Gov Lowe Speaks
AUD,SNB Chairman Jordan Speaks
AUD,SNB Monetary Policy Assessment
AUD,SNB Policy Rate
AUD,SNB Press Conference
AUD,Unemployment Rate
AUD,Employment Change
AUD,Monetary Policy Meeting Minutes
AUD,RBA Monetary Policy Statement
AUD,Unemployment Rate
AUD,WEF Annual Meetings
AUD,CPI q/q
AUD,OPEC-JMMC Meetings
AUD,Trimmed Mean CPI q/q
AUD,ADP Non-Farm Employment Change
AUD,Average Hourly Earnings m/m
AUD,Core PPI m/m
AUD,Core Retail Sales m/m
AUD,Crude Oil Inventories
AUD,Fed Chair Powell Speaks
AUD,Federal Funds Rate
AUD,FOMC Meeting Minutes
AUD,FOMC Press Conference
AUD,FOMC Statement
AUD,Industrial Production m/m
AUD,ISM Manufacturing PMI
AUD,ISM Services PMI
AUD,JOLTS Job Openings
AUD,Monetary Policy Meeting Minutes
AUD,Non-Farm Employment Change
AUD,OPEC-JMMC Meetings
AUD,PPI m/m
AUD,RBA Gov Lowe Speaks
AUD,RBA Monetary Policy Statement
AUD,Retail Sales m/m
AUD,Unemployment Rate
AUD,WEF Annual Meetings
CAD,CPI m/m
CAD,SNB Monetary Policy Assessment
CAD,SNB Policy Rate
CAD,SNB Press Conference
CAD,WEF Annual Meetings
CAD,BOC Gov Macklem Speaks
CAD,BOJ Outlook Report
CAD,BOJ Press Conference
CAD,Common CPI y/y
CAD,Core Retail Sales m/m
CAD,CPI m/m
CAD,Employment Change
CAD,GDP m/m
CAD,Ivey PMI
CAD,Median CPI y/y
CAD,Monetary Policy Statement
CAD,Retail Sales m/m
CAD,Trimmed CPI y/y
CAD,Unemployment Rate
CAD,WEF Annual Meetings
CHF,BOJ Gov Kuroda Speaks
CHF,BOJ Press Conference
CHF,Monetary Policy Statement
CHF,SNB Monetary Policy Assessment
CHF,SNB Policy Rate
CHF,SNB Press Conference
EUR,Cash Rate
EUR,CPI Flash Estimate y/y
EUR,ECB President Lagarde Speaks
EUR,German Final Manufacturing PMI
EUR,RBA Gov Lowe Speaks
EUR,RBA Rate Statement
EUR,BOC Gov Macklem Speaks
EUR,BOC Rate Statement
EUR,Core CPI Flash Estimate y/y
EUR,CPI Flash Estimate y/y
EUR,ECB President Lagarde Speaks
EUR,ECB Press Conference
EUR,Ivey PMI
EUR,Main Refinancing Rate
EUR,Monetary Policy Statement
EUR,OPEC-JMMC Meetings
EUR,Overnight Rate
EUR,Spanish Unemployment Change
EUR,ECB President Lagarde Speaks
EUR,G20 Meetings
EUR,Core CPI Flash Estimate y/y
EUR,CPI Flash Estimate y/y
EUR,ECB President Lagarde Speaks
EUR,Flash Manufacturing PMI
EUR,Flash Services PMI
EUR,French Flash Manufacturing PMI
EUR,French Flash Services PMI
EUR,German Flash Manufacturing PMI
EUR,German Flash Services PMI
EUR,Monetary Policy Report Hearings
EUR,BOJ Gov Kuroda Speaks
EUR,ECB Monetary Policy Meeting Accounts
EUR,Euro Summit
EUR,Flash Manufacturing PMI
EUR,Flash Services PMI
EUR,French Flash Manufacturing PMI
EUR,French Flash Services PMI
EUR,German Flash Manufacturing PMI
EUR,German Flash Services PMI
EUR,Inflation Expectations q/q
EUR,OPEC-JMMC Meetings
EUR,Spanish Unemployment Change
EUR,Advance GDP Price Index q/q
EUR,Advance GDP q/q
EUR,Chicago PMI
EUR,Core Durable Goods Orders m/m
EUR,Core PCE Price Index m/m
EUR,Durable Goods Orders m/m
EUR,ECB Press Conference
EUR,Main Refinancing Rate
EUR,Monetary Policy Statement
EUR,OPEC-JMMC Meetings
EUR,Pending Home Sales m/m
EUR,Unemployment Claims
GBP,CPI y/y
GBP,Monetary Policy Meeting Minutes
