Currency,Event
AUD,AIG Manufacturing Index
AUD,Cash Rate
AUD,Construction Work Done q/q
AUD,CPI y/y
AUD,Employment Change
AUD,Flash Manufacturing PMI
AUD,Flash Services PMI
AUD,G20 Meetings
AUD,GDP q/q
AUD,IMF Meetings
AUD,NAB Business Confidence
AUD,NAB Quarterly Business Confidence
AUD,OPEC Meetings
AUD,OPEC-JMMC Meetings
AUD,PPI q/q
AUD,Producer Price Index (PPI)
AUD,RBA Rate Statement
AUD,Retail Sales m/m
AUD,Unemployment Rate
AUD,WEF Annual Meetings
CAD,Building Permits m/m
CAD,Capacity Utilization Rate
CAD,CPI m/m
CAD,Employment Change
CAD,G20 Meetings
CAD,G7 Meetings
CAD,GDP m/m
CAD,Housing Starts
CAD,IMF Meetings
CAD,industrial Product Price Index (IPPI)
CAD,IPPI m/m
CAD,Ivey PMI
CAD,Manufacturing PMI
CAD,OPEC Meetings
CAD,OPEC-JMMC Meetings
CAD,Overnight Rate
CAD,Retail Sales m/m
CAD,Unemployment Rate
CAD,WEF Annual Meetings
CHF,CPI m/m
CHF,G20 Meetings
CHF,G7 Meetings
CHF,GDP q/q
CHF,IMF Meetings
CHF,Manufacturing PMI
CHF,OPEC Meetings
CHF,OPEC-JMMC Meetings
CHF,Real Retail Sales
CHF,Retail Sales y/y
CHF,SECO Consumer Climate
CHF,SNB Monetary Policy Assessment
CHF,Unemployment Rate
CHF,WEF Annual Meetings
EUR,Belgian NBB Business Climate
EUR,Consumer Confidence
EUR,Core CPI Flash Estimate y/y
EUR,CPI Flash Estimate y/y
EUR,ECB Press Conference
EUR,ECOFIN Meetings
EUR,Eurogroup Meetings
EUR,Final Core CPI y/y
EUR,Final CPI y/y
EUR,Final Employment Change q/q
EUR,Final Manufacturing PMI
EUR,Final Services PMI
EUR,Flash Employment Change q/q
EUR,Flash GDP q/q
EUR,Flash Manufacturing PMI
EUR,Flash Services PMI
EUR,French Final CPI m/m
EUR,French Final Manufacturing PMI
EUR,French Final Services PMI
EUR,French Flash Manufacturing PMI
EUR,French Flash Services PMI
EUR,French Prelim CPI m/m
EUR,French Prelim GDP q/q
EUR,G20 Meetings
EUR,G7 Meetings
EUR,German Final CPI m/m
EUR,German Final GDP q/q
EUR,German Final Manufacturing PMI
EUR,German Final Services PMI
EUR,German Flash Manufacturing PMI
EUR,German Flash Services PMI
EUR,German GfK Consumer Climate
EUR,German ifo Business Climate
EUR,German Prelim CPI m/m
EUR,German Retail Sales m/m
EUR,German Unemployment Change
EUR,IMF Meetings
EUR,Industrial Production m/m
EUR,Italian Manufacturing PMI
EUR,Italian Monthly Unemployment Rate
EUR,Italian Prelim CPI m/m
EUR,Italian Quarterly Unemployment Rate
EUR,Italian Retail Sales m/m
EUR,Italian Services PMI
EUR,Main Refinancing Rate
EUR,Monetary Policy Statement
EUR,OPEC Meetings
EUR,OPEC-JMMC Meetings
EUR,Retail Sales m/m
EUR,Revised GDP q/q
