"","Pair","Event","Currency"
"1","AUDCAD","Annual Budget Release","AUD"
"2","AUDCAD","MI Inflation Expectations","AUD"
"3","AUDCAD","Labor Productivity q/q","CAD"
"4","AUDCHF","Wage Price Index q/q","AUD"
"5","AUDCHF","AIG Manufacturing Index","AUD"
"6","AUDCHF","SNB Press Conference","CHF"
"7","AUDCHF","CPI y/y","AUD"
"8","AUDCHF","Daylight Saving Time Shift","AUD"
"9","AUDCHF","Monetary Policy Meeting Minutes","AUD"
"10","AUDCHF","ANZ Job Advertisements m/m","AUD"
"11","AUDCHF","SECO Economic Forecasts","CHF"
"12","AUDCHF","SNB Chairman Jordan Speaks","CHF"
"13","AUDJPY","MI Inflation Expectations","AUD"
"14","AUDJPY","Retail Sales m/m","AUD"
"15","AUDJPY","RBA Assist Gov Kent Speaks","AUD"
"16","AUDJPY","AIG Construction Index","AUD"
"17","AUDJPY","Monetary Base y/y","JPY"
"18","AUDJPY","BOJ Summary of Opinions","JPY"
"19","AUDJPY","BOJ Core CPI y/y","JPY"
"20","AUDJPY","Revised Industrial Production m/m","JPY"
"21","AUDJPY","Monetary Policy Statement","JPY"
"22","AUDJPY","HPI q/q","AUD"
"23","AUDJPY","Commodity Prices y/y","AUD"
"24","AUDJPY","RBA Monetary Policy Statement","AUD"
"25","AUDJPY","Tertiary Industry Activity m/m","JPY"
"26","AUDJPY","Bank Lending y/y","JPY"
"27","AUDJPY","Tokyo Core CPI y/y","JPY"
"28","AUDNZD","Construction Work Done q/q","AUD"
"29","AUDNZD","Flash Manufacturing PMI","AUD"
"30","AUDNZD","HPI q/q","AUD"
"31","AUDNZD","Trade Balance","NZD"
"32","AUDUSD","Cash Rate","AUD"
"33","AUDUSD","RBA Annual Report","AUD"
"34","AUDUSD","MI Inflation Expectations","AUD"
"35","AUDUSD","Fed Chair Powell Speaks","USD"
"36","AUDUSD","Wards Total Vehicle Sales","USD"
"37","AUDUSD","Federal Budget Balance","USD"
"38","AUDUSD","Final Services PMI","USD"
"39","AUDUSD","Commodity Prices y/y","AUD"
"40","AUDUSD","HPI q/q","AUD"
"41","AUDUSD","Core CPI m/m","USD"
"42","AUDUSD","FOMC Member Bullard Speaks","USD"
"43","AUDUSD","Challenger Job Cuts y/y","USD"
"44","AUDUSD","FOMC Member Waller Speaks","USD"
"45","CADCHF","Bank Holiday","CAD"
