"","Pair","Event","Currency"
"1","AUDCAD","Annual Budget Release","AUD"
"2","AUDCAD","MI Inflation Expectations","AUD"
"3","AUDCAD","Labor Productivity q/q","CAD"
"4","AUDCHF","CPI y/y","AUD"
"5","AUDCHF","Daylight Saving Time Shift","AUD"
"6","AUDCHF","Monetary Policy Meeting Minutes","AUD"
"7","AUDCHF","ANZ Job Advertisements m/m","AUD"
"8","AUDCHF","SECO Economic Forecasts","CHF"
"9","AUDCHF","SNB Chairman Jordan Speaks","CHF"
"10","AUDJPY","HPI q/q","AUD"
"11","AUDJPY","RBA Assist Gov Kent Speaks","AUD"
"12","AUDJPY","Commodity Prices y/y","AUD"
"13","AUDJPY","RBA Monetary Policy Statement","AUD"
"14","AUDJPY","Tertiary Industry Activity m/m","JPY"
"15","AUDJPY","Bank Lending y/y","JPY"
"16","AUDJPY","Monetary Policy Statement","JPY"
"17","AUDJPY","Tokyo Core CPI y/y","JPY"
"18","AUDNZD","Construction Work Done q/q","AUD"
"19","AUDNZD","Flash Manufacturing PMI","AUD"
"20","AUDNZD","HPI q/q","AUD"
"21","AUDNZD","Trade Balance","NZD"
"22","AUDUSD","Commodity Prices y/y","AUD"
"23","AUDUSD","HPI q/q","AUD"
"24","AUDUSD","Core CPI m/m","USD"
"25","AUDUSD","FOMC Member Bullard Speaks","USD"
"26","AUDUSD","Challenger Job Cuts y/y","USD"
"27","AUDUSD","FOMC Member Waller Speaks","USD"
"28","CADCHF","Gov Council Member Lane Speaks","CAD"
"29","CADCHF","Trade Balance","CAD"
"30","CADCHF","Bank Holiday","CAD"
"31","CADCHF","Gov Council Member Gravelle Speaks","CAD"
"32","CADCHF","Labor Productivity q/q","CAD"
"33","CADCHF","SNB Chairman Jordan Speaks","CHF"
"34","CADJPY","BOC Gov Macklem Speaks","CAD"
"35","CADJPY","Labor Productivity q/q","CAD"
"36","CADJPY","Core Retail Sales m/m","CAD"
"37","CADJPY","Housing Starts","CAD"
"38","CADJPY","BOJ Core CPI y/y","JPY"
"39","CADJPY","M2 Money Stock y/y","JPY"
"40","CADJPY","10-y Bond Auction","JPY"
"41","CADJPY","Monetary Policy Statement","JPY"
"42","CADJPY","PPI y/y","JPY"
"43","CADJPY","Unemployment Rate","JPY"
"44","CHFJPY","Unemployment Rate","CHF"
"45","CHFJPY","PPI m/m","CHF"
